"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2000","Americas","Upper-middle-income","Argentina","91","91.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2002","Americas","Upper-middle-income","Argentina","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2009","Americas","Upper-middle-income","Argentina","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2011","Americas","Upper-middle-income","Argentina","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2018","Americas","Upper-middle-income","Argentina","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1993","Europe","Upper-middle-income","Armenia","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1984","Eastern Mediterranean","Low-income","Afghanistan","14","14.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1986","Eastern Mediterranean","Low-income","Afghanistan","14","14.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1991","Eastern Mediterranean","Low-income","Afghanistan","19","19.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1993","Eastern Mediterranean","Low-income","Afghanistan","25","25.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2000","Eastern Mediterranean","Low-income","Afghanistan","27","27.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2002","Eastern Mediterranean","Low-income","Afghanistan","35","35.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2009","Eastern Mediterranean","Low-income","Afghanistan","60","60.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2011","Eastern Mediterranean","Low-income","Afghanistan","64","64.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Europe","High-income","Andorra","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2014","Europe","High-income","Andorra","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1980","Eastern Mediterranean","High-income","United Arab Emirates","34","34.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1998","Europe","Upper-middle-income","Armenia","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1990","Europe","High-income","Austria","60","60.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1997","Europe","High-income","Austria","90","90.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1999","Europe","High-income","Austria","65","65.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2006","Europe","High-income","Austria","80","80.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2008","Europe","High-income","Austria","83","83.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2013","Europe","High-income","Austria","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2015","Europe","High-income","Austria","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1995","Europe","Upper-middle-income","Azerbaijan","64","64.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2000","Europe","Upper-middle-income","Armenia","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2007","Europe","Upper-middle-income","Armenia","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2009","Europe","Upper-middle-income","Armenia","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2016","Europe","Upper-middle-income","Armenia","97","97.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2018","Europe","Upper-middle-income","Armenia","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Americas","High-income","Antigua and Barbuda","89","89.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1989","Americas","High-income","Antigua and Barbuda","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Americas","High-income","Antigua and Barbuda","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1998","Americas","High-income","Antigua and Barbuda","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2005","Americas","High-income","Antigua and Barbuda","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2007","Americas","High-income","Antigua and Barbuda","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Americas","High-income","Antigua and Barbuda","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2014","Americas","High-income","Antigua and Barbuda","93","93.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Western Pacific","High-income","Australia","68","68.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Western Pacific","High-income","Australia","68","68.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1994","Western Pacific","High-income","Australia","86","86.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Western Pacific","High-income","Australia","87","87.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Western Pacific","High-income","Australia","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2003","Western Pacific","High-income","Australia","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Western Pacific","High-income","Australia","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Western Pacific","High-income","Australia","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1981","Europe","High-income","Austria","25","25.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1983","Europe","High-income","Austria","25","25.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1988","Europe","High-income","Austria","60","60.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1997","Europe","Upper-middle-income","Azerbaijan","66","66.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2004","Europe","Upper-middle-income","Azerbaijan","67","67.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2006","Europe","Upper-middle-income","Azerbaijan","69","69.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2011","Europe","Upper-middle-income","Azerbaijan","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2013","Europe","Upper-middle-income","Azerbaijan","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1982","Africa","Low-income","Burundi","40","40.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1984","Africa","Low-income","Burundi","27","27.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1991","Africa","Low-income","Burundi","74","74.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1993","Africa","Low-income","Burundi","69","69.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1998","Africa","Low-income","Burundi","68","68.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2000","Africa","Low-income","Burundi","72","72.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2002","Africa","Low-income","Burundi","75","75.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1994","Africa","Low-income","Burkina Faso","45","45.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Africa","Low-income","Burkina Faso","40","40.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Africa","Low-income","Burkina Faso","63","63.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2003","Africa","Low-income","Burkina Faso","76","76.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Africa","Low-income","Burkina Faso","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Africa","Low-income","Burkina Faso","87","87.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1982","South-East Asia","Lower-middle-income","Bangladesh","1","1.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1984","South-East Asia","Lower-middle-income","Bangladesh","1","1.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1989","South-East Asia","Lower-middle-income","Bangladesh","53","53.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1991","South-East Asia","Lower-middle-income","Bangladesh","68","68.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1998","South-East Asia","Lower-middle-income","Bangladesh","71","71.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2000","South-East Asia","Lower-middle-income","Bangladesh","74","74.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2007","South-East Asia","Lower-middle-income","Bangladesh","89","89.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2009","South-East Asia","Lower-middle-income","Bangladesh","93","93.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2014","South-East Asia","Lower-middle-income","Bangladesh","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2016","South-East Asia","Lower-middle-income","Bangladesh","97","97.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1984","Europe","Upper-middle-income","Bulgaria","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1986","Europe","Upper-middle-income","Bulgaria","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1993","Europe","Upper-middle-income","Bulgaria","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1995","Europe","Upper-middle-income","Bulgaria","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2000","Europe","Upper-middle-income","Bulgaria","89","89.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2002","Europe","Upper-middle-income","Bulgaria","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2014","Europe","High-income","Belgium","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Africa","Low-income","Benin","23","23.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Africa","Low-income","Benin","26","26.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1994","Africa","Low-income","Benin","78","78.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Africa","Low-income","Benin","60","60.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2003","Africa","Low-income","Benin","65","65.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2005","Africa","Low-income","Benin","61","61.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Africa","Low-income","Benin","68","68.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Africa","Low-income","Benin","74","74.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Africa","Low-income","Burkina Faso","38","38.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Africa","Low-income","Burkina Faso","37","37.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2007","Africa","Low-income","Burundi","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2009","Africa","Low-income","Burundi","91","91.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2016","Africa","Low-income","Burundi","93","93.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2018","Africa","Low-income","Burundi","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Europe","High-income","Belgium","82","82.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Europe","High-income","Belgium","50","50.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1989","Europe","High-income","Belgium","75","75.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1994","Europe","High-income","Belgium","78","78.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Europe","High-income","Belgium","73","73.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2003","Europe","High-income","Belgium","82","82.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2005","Europe","High-income","Belgium","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Europe","High-income","Belgium","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Europe","High-income","Belgium","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2011","Europe","Upper-middle-income","Bulgaria","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1999","Europe","Upper-middle-income","Bosnia and Herzegovina","83","83.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Europe","Upper-middle-income","Bosnia and Herzegovina","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2006","Europe","Upper-middle-income","Bosnia and Herzegovina","85","85.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2008","Europe","Upper-middle-income","Bosnia and Herzegovina","84","84.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2015","Europe","Upper-middle-income","Bosnia and Herzegovina","83","83.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2017","Europe","Upper-middle-income","Bosnia and Herzegovina","69","69.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1997","Europe","Upper-middle-income","Belarus","97","97.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1999","Europe","Upper-middle-income","Belarus","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2004","Europe","Upper-middle-income","Belarus","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2006","Europe","Upper-middle-income","Belarus","97","97.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2013","Europe","Upper-middle-income","Belarus","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2018","Europe","Upper-middle-income","Bulgaria","93","93.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1981","Eastern Mediterranean","High-income","Bahrain","50","50.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1986","Eastern Mediterranean","High-income","Bahrain","78","78.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1988","Eastern Mediterranean","High-income","Bahrain","78","78.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1995","Eastern Mediterranean","High-income","Bahrain","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1997","Eastern Mediterranean","High-income","Bahrain","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2004","Eastern Mediterranean","High-income","Bahrain","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2006","Eastern Mediterranean","High-income","Bahrain","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2011","Eastern Mediterranean","High-income","Bahrain","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2013","Eastern Mediterranean","High-income","Bahrain","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2009","Europe","Upper-middle-income","Bulgaria","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2015","Eastern Mediterranean","High-income","Bahrain","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1983","Americas","High-income","Bahamas","66","66.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Americas","High-income","Bahamas","79","79.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1992","Americas","High-income","Bahamas","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1994","Americas","High-income","Bahamas","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1999","Americas","High-income","Bahamas","86","86.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Americas","High-income","Bahamas","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2003","Americas","High-income","Bahamas","90","90.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2008","Americas","High-income","Bahamas","90","90.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Americas","High-income","Bahamas","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2017","Americas","High-income","Bahamas","90","90.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1992","Europe","Upper-middle-income","Bosnia and Herzegovina","52","52.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1997","Europe","Upper-middle-income","Bosnia and Herzegovina","86","86.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2015","Europe","Upper-middle-income","Belarus","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2005","Americas","Upper-middle-income","Brazil","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2007","Americas","Upper-middle-income","Brazil","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Americas","Upper-middle-income","Brazil","99","99.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2014","Americas","Upper-middle-income","Brazil","97","97.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1982","Americas","High-income","Barbados","53","53.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1984","Americas","High-income","Barbados","84","84.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1991","Americas","High-income","Barbados","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1993","Americas","High-income","Barbados","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1983","Americas","Upper-middle-income","Belize","43","43.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Americas","Upper-middle-income","Belize","49","49.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1990","Americas","Upper-middle-income","Belize","86","86.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1992","Americas","Upper-middle-income","Belize","69","69.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1999","Americas","Upper-middle-income","Belize","82","82.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Americas","Upper-middle-income","Belize","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2008","Americas","Upper-middle-income","Belize","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Americas","Upper-middle-income","Belize","98","98.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2015","Americas","Upper-middle-income","Belize","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2017","Americas","Upper-middle-income","Belize","90","90.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Americas","Lower-middle-income","Bolivia (Plurinational State of)","21","21.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Americas","Lower-middle-income","Bolivia (Plurinational State of)","57","57.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1994","Americas","Lower-middle-income","Bolivia (Plurinational State of)","64","64.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Americas","Lower-middle-income","Bolivia (Plurinational State of)","61","61.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Americas","Lower-middle-income","Bolivia (Plurinational State of)","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2003","Americas","Lower-middle-income","Bolivia (Plurinational State of)","96","96.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2010","Americas","Lower-middle-income","Bolivia (Plurinational State of)","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2012","Americas","Lower-middle-income","Bolivia (Plurinational State of)","92","92.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1980","Americas","Upper-middle-income","Brazil","57","57.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1982","Americas","Upper-middle-income","Brazil","66","66.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1987","Americas","Upper-middle-income","Brazil","64","64.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1989","Americas","Upper-middle-income","Brazil","60","60.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1996","Americas","Upper-middle-income","Brazil","80","80.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1998","Americas","Upper-middle-income","Brazil","95","95.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2013","South-East Asia","Lower-middle-income","Bhutan","94","94.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2015","South-East Asia","Lower-middle-income","Bhutan","97","97.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1983","Africa","Upper-middle-income","Botswana","79","79.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1985","Africa","Upper-middle-income","Botswana","85","85.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1990","Africa","Upper-middle-income","Botswana","87","87.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1992","Africa","Upper-middle-income","Botswana","88","88.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","1999","Africa","Upper-middle-income","Botswana","90","90.00000","","",""
"Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Published","2001","Africa","Upper-middle-income","Botswana","91","91.00000","","",""
